nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1,-3.325332422E-03, 3.261021152E-02, 1.305615180E-03, 1.204160624E-03, 1.815457195E-01,-5.639996380E-05
         2,-3.096084576E-03, 3.144115582E-02, 1.767091104E-03, 9.331610636E-04, 1.790749729E-01,-2.074626536E-04
         3,-3.513075644E-03, 3.153482080E-02, 6.111129187E-04, 1.226112014E-03, 1.794834882E-01, 1.809394016E-04
         4, 2.674925840E-03, 4.092731047E-03, 2.313921694E-03,-1.161792688E-02, 2.473875135E-01,-1.007876638E-02
         5, 1.847356558E-03, 4.099606071E-03, 3.012239700E-03,-8.575126529E-03, 2.464258522E-01,-1.391819585E-02
         6, 2.308606170E-03, 5.684046075E-03, 2.684676554E-03,-7.040893659E-03, 2.397407442E-01,-8.215915412E-03
         7, 4.188202787E-03, 4.888379946E-02,-2.351151314E-03, 1.485372242E-02, 2.920444869E-02,-7.320493460E-03
         8, 4.596949555E-03, 5.002000183E-02,-1.433682279E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
         9, 3.915023059E-03, 5.002000183E-02,-2.782382071E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
        10, 5.260713515E-04, 1.337045105E-03,-4.523352720E-03,-3.632600419E-03, 1.426598281E-01, 2.586412244E-02
        11, 4.926921683E-04, 1.337164664E-03,-4.243423697E-03,-5.065208767E-03, 2.059693784E-01, 3.662046418E-02
        12, 1.244881190E-03, 0.000000000E+00,-4.085744265E-03,-1.866404898E-02, 2.217369974E-01, 6.052311882E-02
        13, 1.327297417E-03, 0.000000000E+00,-4.355600569E-03,-2.047558874E-02, 1.827464998E-01, 6.603391469E-02
        14,-3.116265871E-03, 3.580663726E-02, 1.726112096E-03, 7.422507624E-04, 1.765376627E-01,-2.801773662E-04
        15,-2.397442702E-03, 3.622934222E-02, 2.637530677E-03, 6.968500093E-04, 1.737380624E-01,-1.368367928E-03
