nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.713350415E-02,-5.035999930E-04, 2.740255790E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.698637381E-02, 6.907804054E-04, 2.752467524E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 1.729771309E-02,-1.030478277E-03, 2.417661250E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 1.672859304E-02,-1.710288459E-03, 2.127314685E-03
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 1.717075333E-02, 1.174816513E-03, 2.637977712E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 1.610372961E-02,-2.451048931E-03, 1.340191928E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 1.600163803E-02,-2.398578217E-03,-1.187910675E-03
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 1.591511630E-02,-2.661943436E-03,-9.709942969E-05
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 1.573238522E-02,-1.789423521E-03,-1.452566124E-03
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 5.062258244E-02,-1.063848729E-03,-2.357029443E-04
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 5.127643794E-02,-1.605424332E-03,-3.424945753E-04
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 5.178980902E-02,-1.218430465E-03,-2.239850146E-04
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 1.672378369E-02, 2.486867132E-03, 4.387099179E-04
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 1.677398756E-02, 2.798343776E-03, 3.806389941E-05
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 1.616260037E-02,-2.582740271E-03, 2.783489763E-04
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 1.719197258E-02, 2.584439470E-03, 1.061423915E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 1.705251262E-02, 1.863763551E-03, 1.961042406E-03
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
