nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
         1, 5.180462077E-02,-9.910344488E-06,-2.499980386E-03
         2,-2.852787031E-03,-9.694697837E-06,-2.499981318E-03
         3, 4.195198789E-02,-8.354959391E-06,-2.499985974E-03
         4,-1.600000076E-02,-1.416384775E-18,-2.499999944E-03
         5, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03
         6, 2.899999917E-02,-1.416384775E-18,-2.499999944E-03
         7, 5.900000036E-02, 3.061616976E-19,-2.499999944E-03
         8, 3.424751386E-02, 2.392223678E-06,-2.499998780E-03
         9, 8.751605637E-03, 2.596004151E-06,-2.499998547E-03
        10, 3.299178928E-02, 3.848167580E-06,-2.499997150E-03
        11, 1.000787970E-02, 4.028611784E-06,-2.499996684E-03
        12, 3.693905193E-03, 4.971416729E-06,-2.499995055E-03
        13,-8.814255707E-03, 1.406420597E-05,-2.499960363E-03
        14, 1.265740115E-02, 1.418829743E-05,-2.499959664E-03
        15, 3.034267388E-02, 1.417996555E-05,-2.499959897E-03
        16, 1.129344851E-02, 1.764474837E-05,-2.499937778E-03
        17, 3.170662746E-02, 1.763405817E-05,-2.499937778E-03
        18,-1.934139058E-03, 1.828592212E-05,-2.499933122E-03
        19, 4.738112912E-02,-3.511264367E-05,-2.499753376E-03
        20,-1.201249380E-02,-3.164678128E-05,-2.499799710E-03
        21, 5.502605438E-02,-3.137917156E-05,-2.499802969E-03
        22, 5.629790574E-02, 2.873592348E-05,-2.499834867E-03
        23,-1.329589263E-02, 2.895108446E-05,-2.499832306E-03
        24, 3.878158331E-02, 3.674861000E-05,-2.499729861E-03
        25, 4.945849627E-02, 3.794979784E-05,-2.499711933E-03
        26, 9.957599686E-04,-4.805217395E-05,-2.499538241E-03
        27, 5.318167061E-02, 4.401195110E-05,-2.499612514E-03
        28,-1.465274207E-02, 4.438507676E-05,-2.499605995E-03
        29, 5.765339732E-02, 4.432028800E-05,-2.499607159E-03
        30, 4.068711773E-02,-5.232572948E-05,-2.499452326E-03
        31,-6.425256375E-03, 5.987414988E-05,-2.499282826E-03
        32, 4.394925758E-02, 8.762985090E-05,-2.498463728E-03
        33, 4.529959336E-02,-1.052796724E-04,-2.497782232E-03
        34,-4.375837743E-03,-1.085158656E-04,-2.497643698E-03
        35, 3.556162864E-02,-1.417758322E-04,-2.495976631E-03
        36, 7.437072229E-03,-1.407200471E-04,-2.496036468E-03
        37,-1.017263532E-02, 1.484962268E-04,-2.495585941E-03
        38, 5.294529721E-03, 1.511527662E-04,-2.495426452E-03
        39, 5.007359758E-02, 1.518774952E-04,-2.495382447E-03
        40,-2.475164947E-04,-1.610670442E-04,-2.494806191E-03
        41, 4.603069276E-02, 1.598962990E-04,-2.494881395E-03
        42, 3.627585992E-02, 1.622610871E-04,-2.494728658E-03
        43, 3.818238154E-02,-1.644047297E-04,-2.494588261E-03
        44, 3.935290501E-02,-1.634181390E-04,-2.494653221E-03
        45, 6.723028142E-03, 1.639343682E-04,-2.494619228E-03
        46,-1.075460203E-02,-1.794991113E-04,-2.493547741E-03
        47,-1.176056336E-03, 1.819221507E-04,-2.493372187E-03
        48, 1.533988863E-03,-1.879688498E-04,-2.492923522E-03
        49, 3.765147179E-02, 1.900933567E-04,-2.492762404E-03
        50, 5.062640831E-02,-1.929995633E-04,-2.492539119E-03
        51, 2.868089359E-03, 1.988667645E-04,-2.492077881E-03
        52, 4.321982339E-02,-2.019213862E-04,-2.491832245E-03
        53, 5.382407457E-02,-2.114990202E-04,-2.491037594E-03
        54,-5.090774968E-03, 2.119846758E-04,-2.490996383E-03
        55,-1.138544269E-02, 2.161672601E-04,-2.490636893E-03
        56, 5.442347378E-02, 2.170587395E-04,-2.490559360E-03
        57,-8.223461919E-03, 2.183724282E-04,-2.490444342E-03
        58, 4.811412469E-02, 2.187998471E-04,-2.490406856E-03
        59, 5.114141107E-02, 2.210874081E-04,-2.490204992E-03
        60,-5.689593963E-03,-2.267989621E-04,-2.489691135E-03
        61,-7.733960170E-03,-2.402145910E-04,-2.488432685E-03
        62, 5.244649202E-02, 2.489571343E-04,-2.487573074E-03
        63, 4.874002934E-02,-2.546659671E-04,-2.486995189E-03
        64, 3.995867074E-02, 2.569623175E-04,-2.486759098E-03
        65, 6.076794583E-03,-2.686473017E-04,-2.485523699E-03
        66, 3.692188114E-02,-2.705347724E-04,-2.485319041E-03
        67,-9.456732310E-03, 2.731634886E-04,-2.485031495E-03
        68, 4.260015488E-02, 2.823828254E-04,-2.484000754E-03
        69,-9.750162251E-03,-2.834594634E-04,-2.483878052E-03
        70, 3.491082415E-02, 2.906969166E-04,-2.483041491E-03
        71, 8.088053204E-03, 2.915368823E-04,-2.482943004E-03
        72, 4.489234183E-03,-2.934600634E-04,-2.482716460E-03
        73, 4.665423930E-02,-3.011935623E-04,-2.481790259E-03
        74, 2.294908045E-03,-3.285678395E-04,-2.478314564E-03
        75,-3.728782292E-03, 3.308211453E-04,-2.478014911E-03
        76, 5.272115022E-02,-3.348009195E-04,-2.477480331E-03
        77, 1.197484974E-02,-3.376901732E-04,-2.477088012E-03
        78, 3.102522530E-02,-3.376140958E-04,-2.477098489E-03
        79, 1.333563589E-02,-3.424549068E-04,-2.476433758E-03
        80, 2.966441959E-02,-3.423912276E-04,-2.476442605E-03
        81, 9.398131631E-03,-3.437875130E-04,-2.476249123E-03
        82, 3.360161558E-02,-3.436312545E-04,-2.476271009E-03
        83, 5.561302230E-02,-3.496716381E-04,-2.475425135E-03
        84,-1.261300035E-02,-3.506379144E-04,-2.475288464E-03
        85, 5.698115379E-02,-3.534678253E-04,-2.474885900E-03
        86,-1.397938840E-02,-3.545600630E-04,-2.474729670E-03
        87,-1.532177813E-02,-3.584080550E-04,-2.474175300E-03
        88, 5.832183361E-02,-3.584080550E-04,-2.474175300E-03
        89, 4.128205776E-02, 3.607157851E-04,-2.473840024E-03
        90,-7.070290856E-03,-3.647050471E-04,-2.473254921E-03
        91, 4.467990249E-02, 3.678172652E-04,-2.472794149E-03
        92, 1.333519071E-02, 3.713857441E-04,-2.472260734E-03
        93, 2.966486663E-02, 3.713122569E-04,-2.472271677E-03
        94, 1.197433192E-02, 3.736115468E-04,-2.471925225E-03
        95, 3.102574497E-02, 3.735183273E-04,-2.471939428E-03
        96, 5.566392466E-02, 3.789562616E-04,-2.471111482E-03
        97,-1.266263891E-02, 3.801561834E-04,-2.470927313E-03
        98, 1.062471513E-02,-3.893692337E-04,-2.469492145E-03
        99, 3.237532824E-02,-3.894284018E-04,-2.469482832E-03
       100, 3.364229575E-02, 3.907904611E-04,-2.469267696E-03
       101, 9.357168339E-03, 3.910150263E-04,-2.469232073E-03
       102, 4.456796497E-02,-3.929850936E-04,-2.468919381E-03
       103,-7.561421953E-03, 4.041093343E-04,-2.467122860E-03
       104, 2.041106345E-03, 4.052368167E-04,-2.466937993E-03
       105,-1.534180250E-02, 4.107725690E-04,-2.466022270E-03
       106, 5.834179744E-02, 4.107838613E-04,-2.466020407E-03
       107,-3.644622397E-03,-4.128695000E-04,-2.465672093E-03
       108, 4.137945548E-02,-4.179528914E-04,-2.464815509E-03
       109, 5.697517097E-02, 4.207568709E-04,-2.464338439E-03
       110,-1.397402491E-02, 4.211736377E-04,-2.464267192E-03
       111, 1.062381174E-02, 4.232237116E-04,-2.463915851E-03
       112, 3.237623349E-02, 4.232579086E-04,-2.463910030E-03
       113, 4.675769806E-02, 4.257322289E-04,-2.463483717E-03
       114, 4.741548910E-04, 4.261833383E-04,-2.463405719E-03
       115, 4.008707777E-02,-4.415869189E-04,-2.460691147E-03
       116,-1.021626033E-02,-4.440909834E-04,-2.460240386E-03
       117,-6.982250605E-03, 4.472075088E-04,-2.459675772E-03
       118, 4.322837049E-04,-4.536007764E-04,-2.458504867E-03
       119, 3.924444318E-02, 4.624610301E-04,-2.456853632E-03
       120, 8.144663647E-03,-4.687276087E-04,-2.455665730E-03
       121, 3.485390544E-02,-4.694067757E-04,-2.455536043E-03
       122, 5.003825203E-02,-4.733274691E-04,-2.454783302E-03
